,Book,Author,Genres,Avg_Rating
0,To Kill a Mockingbird,Harper Lee,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']",4.27
1,"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Classics']",4.47
2,Pride and Prejudice,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']",4.28
3,The Diary of a Young Girl,Anne Frank,"['Classics', 'Nonfiction', 'History', 'Biography', 'Memoir', 'Historical']",4.18
4,Animal Farm,George Orwell,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Politics', 'School', 'Literature']",3.98
5,The Little Prince,Antoine de Saint-Exupéry,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'Philosophy', 'Young Adult']",4.32
6,1984,George Orwell,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics']",4.19
7,The Great Gatsby,F. Scott Fitzgerald,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Romance', 'Novels']",3.93
8,The Catcher in the Rye,J.D. Salinger,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels']",3.81
9,The Lord of the Rings,J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'High Fantasy']",4.52
10,The Book Thief,Markus Zusak,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War']",4.39
11,Jane Eyre,Charlotte Brontë,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical']",4.14
12,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"['Fantasy', 'Classics', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Middle Grade']",4.27
13,Lord of the Flies,William Golding,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia']",3.69
14,Romeo and Juliet,William Shakespeare,"['Classics', 'Fiction', 'Romance', 'School', 'Drama']",3.74
15,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']",4.62
16,The Kite Runner,Khaled Hosseini,"['Fiction', 'Historical Fiction', 'Classics', 'Contemporary', 'Novels', 'Historical', 'Literature']",4.33
17,"The Giver (The Giver, #1)",Lois Lowry,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']",4.12
18,The Giving Tree,Shel Silverstein,"['Childrens', 'Fiction', 'Classics', 'Poetry', 'Young Adult', 'Fantasy']",4.38
19,Charlotte's Web,E.B. White,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals']",4.19
20,Little Women,Louisa May Alcott,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature']",4.14
21,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']",4.33
22,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'Science Fiction Fantasy', 'High Fantasy']",4.28
23,Of Mice and Men,John Steinbeck,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Novels']",3.88
24,Fahrenheit 451,Ray Bradbury,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels']",3.97
25,Green Eggs and Ham,Dr. Seuss,"['Childrens', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Humor']",4.3
26,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']",4.58
27,Wuthering Heights,Emily Brontë,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature']",3.88
28,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Literature', 'Adventure']",4.06
29,The Picture of Dorian Gray,Oscar Wilde,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Literature', 'Novels']",4.12
30,"Night  (The Night Trilogy, #1)",Elie Wiesel,"['Nonfiction', 'Classics', 'History', 'Memoir', 'Biography', 'School']",4.36
31,Gone with the Wind,Margaret Mitchell,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature']",4.3
32,The Holy Bible: King James Version,Anonymous,"['Religion', 'Classics', 'Nonfiction', 'Christian', 'Philosophy', 'History']",4.43
33,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']",4.56
34,"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"['Science Fiction', 'Fiction', 'Humor', 'Classics', 'Fantasy', 'Science Fiction Fantasy']",4.23
35,Hamlet,William Shakespeare,"['Classics', 'Fiction', 'Drama', 'School', 'Literature']",4.02
36,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']",4.58
37,The Adventures of Huckleberry Finn,Mark Twain,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'School']",3.83
38,Tolkien On Fairy-stories,J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction']",4.32
